2014,-9.143645364765742,38.753404328752353,Alvalade,Praça de Alvalade,1017,Distribuição de Programas do IndieJúnior,Publicitário,,,06/05/2017,07/05/2017,3aaa9f92-758f-44d5-84fe-8e0d8d274ad0,29/03/2017
2016,-9.213326636614235,38.693508477183777,Belém,Doca do Bom Sucesso,1102,6ªCorrida/Caminhada Dona Estefânia,Desportivo,2605,,07/05/2017,07/05/2017,f4e3ed29-5a45-4363-b915-2906f0451f28,03/05/2017
2017,-9.094658336877462,38.76616330872654,Parque das Nações,Cais Português,1104,Festas Juninas - Mostra Brasil,Divertimento/Espetáculo,,10,08/04/2017,15/04/2017,f91560b4-1686-4e7d-a88a-af5321e07a57,07/04/2017
2018,-9.142153674507243,38.710472313402441,Santa Maria Maior,Largo do Chiado,1104,Festas Juninas - Mostra Brasil,Institucional/Social,,,07/04/2017,14/04/2017,449a3748-7f8e-488b-b087-48b27526166e,07/04/2017
2026,-9.174916279456369,38.703149436568296,Alcântara,Rua Cascais,820,EDP Meia Maratona de Lisboa/meia Maratona ELITE/Mini Maratona,Desportivo,13600,,13/03/2017,20/03/2017,116b25ee-3d4e-4980-ad01-c93adb384c16,15/03/2017
2027,-9.143963918145298,38.706161137970717,Misericórdia,Cais do Sodré,820,EDP Meia Maratona de Lisboa/meia Maratona ELITE/Mini Maratona,Desportivo,13600,,13/03/2017,20/03/2017,997ebded-bbfb-4034-a509-ccea87d6bdb4,15/03/2017
2028,-9.206537712279301,38.69711029981643,Belém,Praça do Império,820,EDP Meia Maratona de Lisboa/meia Maratona ELITE/Mini Maratona,Desportivo,13600,,13/03/2017,20/03/2017,0421859e-f653-4f2f-9e98-9d3cba3d0800,15/03/2017
2034,-9.143911477193939,38.710277336959066,Misericórdia,Rua da Horta Sêca,1068,Spot Publicitário ,Filmagem,,,29/03/2017,30/03/2017,f8f087ed-8eda-4ac0-8424-81eca2910542,29/03/2017
2035,-9.128275739125117,38.717535288283344,São Vicente,Travessa da Pereira,1069,Novela Amor Maior,Filmagem,,,30/03/2017,31/03/2017,4b497c31-7754-4cff-ae52-893ed1ad2499,29/03/2017
2036,-9.127980605723357,38.712039547840455,Santa Maria Maior,Largo de Santo Estêvão,1069,Novela Amor Maior,Filmagem,,,29/03/2017,29/03/2017,1cdcccdd-75fc-4bbd-b54b-955a6f54fac1,29/03/2017
2037,-9.124787545842587,38.714547043904844,São Vicente,Campo de Santa Clara,1069,Novela Amor Maior,Filmagem,,,30/03/2017,31/03/2017,c7aa0522-5795-40ce-b0a7-0fad8a5dc964,29/03/2017
2039,-9.14433280413019,38.714834661514757,Misericórdia,Rua de São Pedro de Alcântara,1070,Episódio Telivisivo In the Belly of...Lisbon.,Filmagem,,,30/03/2017,01/04/2017,5f998f3e-a506-466b-abff-ccd4e17e1936,29/03/2017
2040,-9.147963648083202,38.70975778878946,Misericórdia,Rua de Santa Catarina,1070,Episódio Telivisivo In the Belly of...Lisbon.,Filmagem,,,30/03/2017,01/04/2017,7cf0f65f-7de1-4869-8e65-594f6b8141aa,29/03/2017
2041,-9.150953557555736,38.729781384806437,Avenidas Novas,Avenida de Sidónio Pais,1073,Peixe em Lisboa 2017,Publicitário,,,22/03/2017,14/04/2017,9f9e8536-e43e-4ca4-a006-1ed06bca6ea5,30/03/2017
2042,-9.169729358496832,38.708737398877915,Estrela,Calçada das Necessidades,1074,Caminhos Magnéticos,Filmagem,,,03/04/2017,03/04/2017,09be0f66-cd27-4397-8773-2fd4cc6c41f3,29/03/2017
2043,-9.130362749210612,38.712268519876993,Santa Maria Maior,Largo das Portas do Sol,1070,Episódio Telivisivo In the Belly of...Lisbon,Filmagem,,,30/03/2017,01/04/2017,301f14bf-3352-4149-b78b-1232b838a17b,29/03/2017
2044,-9.105229899787211,38.74616725279428,Marvila,Azinhaga do Vale Fundão,1076,XXV Grande Prémio  do Futuro em Atletismo,Desportivo,870,,09/04/2017,09/04/2017,fc6de2b7-9d48-4993-8d08-1f7d235f6e39,07/04/2017
